arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
"staged-p1 [shaped, n4]",39,0.618,1.0,,192.297,0.03,0.012
"staged-p1 [shaped, n4]",40,0.651,1.0,0.528,195.297,0.019,0.01
"staged-p1 [shaped, n4]",41,0.671,1.0,,190.719,0.042,0.009
"staged-p1 [shaped, n4]",42,0.625,1.0,,192.688,0.022,0.011
"staged-p1 [shaped, n4]",43,0.562,1.0,,197.812,0.041,0.011
"staged-p1 [shaped, n4]",44,0.609,1.0,,196.672,0.024,0.01
"staged-p1 [shaped, n4]",45,0.607,1.0,,201.453,0.022,0.012
"staged-p1 [shaped, n4]",46,0.645,1.0,,199.625,0.032,0.011
"staged-p1 [shaped, n4]",47,0.614,1.0,,197.75,0.007,0.009
"staged-p1 [shaped, n4]",48,0.549,1.0,,197.016,0.02,0.008
"staged-p1 [shaped, n4]",49,0.619,1.0,,196.984,0.026,0.009
"staged-p1 [shaped, n4]",50,0.671,1.0,,203.125,0.031,0.005
"staged-p1 [shaped, n4]",51,0.673,1.0,,201.016,0.023,0.008
"staged-p1 [shaped, n4]",52,0.572,1.0,,192.062,0.029,0.008
"staged-p1 [shaped, n4]",53,0.705,1.0,,200.641,0.012,0.008
"staged-p1 [shaped, n4]",54,0.554,1.0,,198.469,0.012,0.008
"staged-p1 [shaped, n4]",55,0.706,1.0,,187.625,0.029,0.009
"staged-p1 [shaped, n4]",56,0.652,1.0,,190.484,0.024,0.006
"staged-p1 [shaped, n4]",57,0.614,1.0,,200.203,0.023,0.007
"staged-p1 [shaped, n4]",58,0.608,1.0,,191.469,0.032,0.008
"staged-p1 [shaped, n4]",59,0.612,1.0,,196.984,0.036,0.007
"staged-p1 [shaped, n4]",60,0.516,1.0,0.535,195.453,0.024,0.01
"staged-p1 [shaped, n4]",61,0.548,1.0,,200.203,0.021,0.007
"staged-p1 [shaped, n4]",62,0.654,1.0,,194.5,0.053,0.009
"staged-p1 [shaped, n4]",63,0.628,1.0,,195.406,0.041,0.01
"staged-p1 [shaped, n4]",64,0.557,1.0,,201.266,0.066,0.008
"staged-p1 [shaped, n4]",65,0.671,1.0,,200.922,0.031,0.006
"staged-p1 [shaped, n4]",66,0.613,1.0,,191.688,0.018,0.007
"staged-p1 [shaped, n4]",67,0.584,1.0,,198.719,0.051,0.008
"staged-p1 [shaped, n4]",68,0.588,1.0,,200.844,0.045,0.01
"staged-p1 [shaped, n4]",69,0.629,1.0,,198.5,0.023,0.007
"staged-p1 [shaped, n4]",70,0.57,1.0,,203.391,0.036,0.005
"staged-p1 [shaped, n4]",71,0.522,0.588,,197.422,0.029,0.008
"staged-p1 [shaped, n4]",72,0.665,1.0,,195.797,0.025,0.006
"staged-p1 [shaped, n4]",73,0.538,1.0,,196.016,0.04,0.008
"staged-p1 [shaped, n4]",74,0.5,1.0,,199.438,0.022,0.006
"staged-p1 [shaped, n4]",75,0.502,1.0,,191.531,0.044,0.007
"staged-p1 [shaped, n4]",76,0.614,1.0,,196.562,0.041,0.009
"staged-p1 [shaped, n4]",77,0.574,1.0,,196.5,0.032,0.009
"staged-p1 [shaped, n4]",78,0.533,1.0,,199.125,0.016,0.007
"staged-p1 [shaped, n4]",79,0.614,1.0,,191.969,0.015,0.007
"staged-p1 [shaped, n4]",80,0.627,1.0,0.54,197.203,0.032,0.007
"staged-p1 [shaped, n4]",81,0.737,1.0,,199.234,0.02,0.007
"staged-p1 [shaped, n4]",82,0.638,1.0,,200.891,0.032,0.008
"staged-p1 [shaped, n4]",83,0.64,1.0,,198.406,0.007,0.006
"staged-p1 [shaped, n4]",84,0.605,1.0,,190.125,0.018,0.018
"staged-p1 [shaped, n4]",85,0.542,1.0,,192.203,0.064,0.012
"staged-p1 [shaped, n4]",86,0.585,1.0,,202.031,0.034,0.012
"staged-p1 [shaped, n4]",87,0.63,1.0,,203.094,0.065,0.01
"staged-p1 [shaped, n4]",88,0.569,1.0,,195.188,0.085,0.009
"staged-p1 [shaped, n4]",89,0.574,1.0,,202.438,0.054,0.008
